,cat,concept,typicality
0,1,0,4.87435226758206
1,1,12,6.37455507181896
2,1,15,5.342845892356779
3,1,24,4.655668531580393
4,1,25,5.28888605838626
5,1,26,6.013500985445796
6,1,53,5.90325632300001
7,1,75,2.9757981934923756
8,1,87,5.91208449606644
9,1,105,7.784419620577442
10,1,107,5.787896672572345
11,1,111,5.535304310137316
12,1,115,4.243660066884402
13,1,128,7.419739392539958
14,1,134,5.785437630583491
15,1,146,4.229243429084865
16,1,151,5.436709740002695
17,1,212,5.0886161319279255
18,1,214,7.250107746867729
19,1,229,5.2472013839115474
20,1,241,6.614226864853113
21,1,245,6.881422305147479
22,1,274,5.823888952375272
23,1,284,8.252826632868224
24,1,286,4.382735668188888
25,1,287,4.98271433111015
26,1,315,6.3491661048343975
27,1,321,6.087185359572683
28,1,324,7.640913880005202
29,1,326,6.589300293879754
30,1,332,4.497113490924435
31,1,334,6.165457132125936
32,1,349,3.7932175625984454
33,1,371,4.997497814141473
34,1,372,5.092276652479457
35,1,373,4.053576795303634
36,1,406,2.48357285225475
37,1,423,6.961456642157314
38,1,426,7.95013683259003
39,1,427,6.918327044100209
40,1,428,5.247513850863838
41,1,434,3.8437845416729886
42,1,446,6.0676181660351745
43,1,471,6.318249467097039
44,1,476,7.745656068538952
45,1,495,7.968253424778131
46,1,502,6.173789788943392
47,1,504,6.752743133796747
48,1,514,4.663536173168338
49,1,525,7.287595808849898
50,1,526,5.889533473477037
51,1,537,6.666745485999689
52,1,541,2.630660097066231
53,1,545,4.2376613418687015
54,1,554,7.048363967821554
55,1,578,5.709909047299901
56,1,600,6.023858296669994
57,1,608,5.837947179387072
58,1,621,4.278567811851923
59,1,638,6.858783102915031
60,1,644,6.107265771472497
61,1,666,5.314985002825517
62,1,675,7.145276410092917
63,1,684,7.046600969495446
64,1,688,5.714946913072149
65,1,693,6.407081095585612
66,1,694,5.465333433033796
67,1,695,7.206564918591371
68,1,706,4.617434910010451
69,1,718,5.729043285736842
70,1,722,6.34538405777843
71,1,743,6.886564904795499
72,1,760,6.40750102835721
73,1,774,5.557012195255192
74,1,781,6.597396130144212
75,1,798,8.031833271633733
76,1,811,5.909551691273528
77,1,815,5.6568453080115235
78,1,825,5.161667000778449
79,1,845,4.718998427255888
80,1,862,6.739367892660773
81,1,875,7.482517751273491
82,1,884,5.999626778096041
83,1,888,4.430304670177617
84,1,889,7.138938089157688
85,1,909,3.0883767613312587
86,1,917,6.603280978461809
87,1,929,4.164908775831381
88,1,933,7.809899411682451
89,1,937,6.107954330970123
90,1,938,5.696515440535246
91,1,939,4.5900666844971685
92,1,955,3.1713809567707507
93,1,964,4.824405582262671
94,1,992,5.2286868301781135
95,1,1014,4.814832644462832
96,1,1016,5.065638214909362
97,1,1017,7.905834219446987
98,1,1018,6.1130550040552
99,1,1020,3.59593591882071
100,1,1023,3.849785677179667
101,1,1026,6.809469732515377
102,1,1042,3.714175066200222
103,1,1070,5.337465869565655
104,1,1080,5.929153768861891
105,1,1084,5.951276346120743
106,1,1085,5.513658869051156
107,1,1091,6.7442551311402665
108,1,1092,3.8801591103930817
109,1,1105,6.996809071737167
110,1,1106,6.460926054259285
111,1,1121,5.724765725782713
112,1,1130,5.595763968304245
113,1,1140,5.127334420902398
114,1,1145,6.026079593173142
115,1,1160,4.598164007786996
116,1,1170,7.918138066522723
117,1,1171,6.347356326247126
118,1,1173,6.64751421106948
119,1,1198,4.380049412909187
120,1,1211,7.1897913130062365
121,1,1220,7.470485682283934
122,1,1221,7.109653142969572
123,1,1226,5.408808755718448
124,1,1228,6.297873977149119
125,1,1238,3.268496003138158
126,1,1248,3.809212922925119
127,1,1249,5.5370065976247025
128,1,1258,7.884344597462948
129,1,1265,7.994709604712614
130,1,1266,7.323437405090424
131,1,1282,5.523274113754331
132,1,1285,6.36612276206858
133,1,1288,5.632436535528919
134,1,1301,5.785522585957065
135,1,1306,5.9224572532219195
136,1,1330,6.745473158171836
137,1,1359,3.9158551987983734
138,1,1373,3.5896825553508025
139,1,1384,4.794744310853125
140,1,1393,4.063518497891027
141,1,1395,5.846242592589341
142,1,1396,4.6312086047266074
143,1,1397,6.225851921361378
144,1,1409,6.316246002758347
145,1,1414,7.333595828623787
146,1,1438,4.096536146460315
147,1,1459,6.65320826465184
148,1,1471,5.314140867591323
149,1,1472,4.276527785116562
150,1,1476,4.783866940869861
151,1,1477,6.998768764420992
152,1,1513,5.354437257750041
153,1,1528,4.314001874239965
154,1,1529,7.782015203144105
155,1,1541,4.486621590615776
156,1,1556,4.741233921584149
157,1,1591,5.900168879478757
158,1,1603,4.328678187089471
159,1,1614,4.31799768908138
160,1,1626,4.555797146286346
161,1,1656,3.3184012405519616
162,1,1659,7.742058562036571
163,1,1664,5.6665123438692095
164,1,1690,4.913798175380044
165,1,1733,6.591107403694917
166,1,1736,6.939475492602286
167,1,1768,5.026537618279826
168,1,1779,6.086036570025996
169,1,1781,4.871964770805263
170,1,1785,4.147168392910469
171,1,1797,5.484016634358198
172,1,1804,6.377924651205993
173,1,1831,7.421729672644025
174,1,1836,4.782297675514594
175,1,1845,4.451411833950333
176,1,1851,7.177455269437241
177,2,128,7.826809122611493
178,2,274,6.981250153361665
179,2,321,6.062167899758887
180,2,372,5.999606339472523
181,2,446,7.193075003516127
182,2,525,7.536155949914939
183,2,526,5.976934101571381
184,2,537,7.548796406161616
185,2,608,6.399726513040537
186,2,693,6.737000594244585
187,2,760,7.501840681040985
188,2,811,6.879354793412087
189,2,1084,5.988587626330292
190,2,1091,7.408787356364795
191,2,1121,7.381616615451185
192,2,1130,6.231562954998952
193,2,1140,6.236256144025125
194,2,1145,5.9676654261088595
195,2,1160,6.002980661164003
196,2,1171,7.970333669402593
197,2,1248,4.7958781516394495
198,2,1330,6.972468551135529
199,2,1395,7.232568323396944
200,2,1591,6.491448541647391
201,2,1690,5.409664886542559
202,2,1733,6.760664894155303
203,2,1768,6.064600728789293
204,3,22,7.1467579296297705
205,3,36,8.347514608859536
206,3,106,3.819968013471684
207,3,161,5.528857089876488
208,3,242,6.363410038423946
209,3,319,6.916152463798745
210,3,330,6.37023963179892
211,3,538,7.517013574033357
212,3,552,7.239888150169976
213,3,564,7.7358527878541015
214,3,569,7.453899248035638
215,3,588,7.6207659221472355
216,3,628,8.162059196607224
217,3,733,5.95595647018818
218,3,744,8.289562691550678
219,3,780,6.54546348854538
220,3,877,7.7530126348136195
221,3,911,8.34583293784359
222,3,1031,7.396058724871053
223,3,1043,3.4477976040124836
224,3,1052,5.486191935051687
225,3,1053,7.076569917902118
226,3,1063,7.722627489569975
227,3,1431,7.1356009754493686
228,3,1450,5.106274319004753
229,3,1456,5.756949234766141
230,3,1458,6.093775498123491
231,3,1560,6.742280545492463
232,3,1653,7.339951597249638
233,3,1668,7.243189048119079
234,3,1675,6.483634970697218
235,3,1678,5.448969471610009
236,3,1685,5.733149420599558
237,3,1842,6.728110206572873
238,4,33,4.661020819102392
239,4,37,2.706567345815368
240,4,67,5.412037798879196
241,4,90,5.705459525547557
242,4,104,4.980427268074144
243,4,118,6.543368457211112
244,4,124,6.144768839606863
245,4,137,6.5652717869945425
246,4,144,8.17385212815412
247,4,150,3.271414648879123
248,4,157,3.7397229137948274
249,4,163,3.5114221481395416
250,4,169,5.97929204943527
251,4,174,4.191013102167844
252,4,178,3.575281337371306
253,4,180,5.016364955217404
254,4,182,7.099011149914936
255,4,185,6.6648888997036595
256,4,187,3.8911818037823545
257,4,218,3.318985169960273
258,4,266,3.3756449109248714
259,4,273,6.678147947755982
260,4,306,3.8610269244190163
261,4,358,4.1870337194325975
262,4,361,7.9206556008828235
263,4,369,7.344313962061852
264,4,418,4.75833415529207
265,4,419,4.798823113262943
266,4,425,5.152386841906802
267,4,448,2.4458670242505884
268,4,459,3.879936674451478
269,4,485,3.7431452101807774
270,4,518,8.01873541569474
271,4,565,2.525078911812856
272,4,604,4.194211941796757
273,4,614,5.872863825219274
274,4,650,5.438607510418294
275,4,659,3.552737138394442
276,4,680,5.584714864411557
277,4,757,6.608590044498106
278,4,762,5.066104691286643
279,4,763,3.168322939373631
280,4,768,5.020783468139625
281,4,792,7.339741145579336
282,4,836,8.073245749904101
283,4,842,8.607675290506549
284,4,846,6.6334301505103355
285,4,859,5.711934950189123
286,4,872,3.8811226509591092
287,4,873,4.836601979549916
288,4,885,4.644086254228748
289,4,912,7.136615905061629
290,4,918,4.383176773933341
291,4,924,2.8216918346808284
292,4,932,6.250240589208681
293,4,944,3.409382456628226
294,4,1008,5.5455040327408
295,4,1010,4.176431542056611
296,4,1034,3.642883622838152
297,4,1058,5.6674513015637995
298,4,1087,7.347336327783365
299,4,1090,6.052619529873052
300,4,1099,7.146517405690041
301,4,1107,7.3888593248092365
302,4,1108,8.398624556758309
303,4,1109,6.3535746701450595
304,4,1110,5.94464331756302
305,4,1216,7.575276635846437
306,4,1279,6.130048529941784
307,4,1317,6.458279508538917
308,4,1352,5.7213490459685605
309,4,1377,6.047681040369227
310,4,1411,5.271728001064004
311,4,1422,8.559333468765086
312,4,1423,6.531303789919373
313,4,1430,7.963907622714692
314,4,1453,3.9536627874171275
315,4,1457,7.846313661658568
316,4,1468,5.317878134594556
317,4,1485,3.056571313186524
318,4,1486,5.028620059370255
319,4,1489,7.819740008938768
320,4,1495,4.135942829537075
321,4,1502,2.442122280536878
322,4,1554,4.021355094337631
323,4,1559,5.732801769671857
324,4,1565,2.856894245934756
325,4,1580,7.435366938493924
326,4,1589,4.956265134744407
327,4,1592,7.8959194361803595
328,4,1593,7.077276721200296
329,4,1597,6.98442576906036
330,4,1606,8.238652460232837
331,4,1655,3.0109260544894827
332,4,1658,6.460671195857175
333,4,1669,3.284854180253986
334,4,1682,4.462165958808512
335,4,1724,5.647684620913964
336,4,1730,3.6809155713155954
337,4,1737,6.626545255271411
338,4,1738,5.448434904397303
339,4,1744,7.314605693746429
340,4,1745,7.91255244035725
341,4,1747,6.985810747176827
342,4,1755,3.9756984865051783
343,4,1759,6.022656278559062
344,4,1766,4.171100074107927
345,4,1803,3.705186525294433
346,5,67,6.267741750803869
347,5,118,8.17386378410153
348,5,119,6.487206063392537
349,5,150,4.180596569758235
350,5,157,4.172529110011607
351,5,163,4.285775468086321
352,5,174,6.160445467889792
353,5,180,6.028265669157377
354,5,188,7.101801997542536
355,5,202,5.404490925025426
356,5,210,6.308226156390921
357,5,230,6.563316094075636
358,5,417,4.54691801559902
359,5,458,6.3221014079425695
360,5,459,3.8037197881446714
361,5,540,7.613501006731096
362,5,565,2.7431331119224165
363,5,678,6.678957121740211
364,5,680,6.961496123965991
365,5,747,6.140509880815215
366,5,757,8.25112540061111
367,5,762,5.739824657120333
368,5,763,4.510176939133924
369,5,831,3.5018797782454847
370,5,896,4.445993446762219
371,5,1008,6.021178845982822
372,5,1034,4.171753822219503
373,5,1125,3.804743994062852
374,5,1259,7.739594075048916
375,5,1377,7.5804969658635715
376,5,1411,6.097006932097752
377,5,1495,4.427946402112797
378,5,1589,5.48867284400195
379,5,1658,7.850292932749322
380,5,1682,4.779442987010673
381,5,1766,5.247249343850596
382,5,1786,7.131575688327657
383,6,34,4.749430275365218
384,6,41,4.239961604159146
385,6,49,6.057885605128655
386,6,54,6.6434602994844765
387,6,61,4.281458255795681
388,6,69,3.271219374733437
389,6,76,7.016096301988275
390,6,82,7.814013005258209
391,6,91,3.872276824402897
392,6,101,4.4312059531121095
393,6,109,3.65214502318274
394,6,125,7.536530344960324
395,6,129,3.7763451106004866
396,6,130,4.462764219507099
397,6,170,7.000505815861738
398,6,177,7.06097826940389
399,6,181,8.193157667536543
400,6,195,5.359751741052869
401,6,200,5.777570596336421
402,6,209,7.0041452091747685
403,6,233,5.743174417429845
404,6,236,5.2132771721656805
405,6,250,6.845074130932626
406,6,259,7.1726509862072305
407,6,320,6.279198330178025
408,6,360,4.577703730725124
409,6,380,5.889261603887878
410,6,383,4.047624361868135
411,6,398,8.329743053410262
